127.0.0.1 - - [17/Jun/2017:11:04:33 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=white HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=red HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=blue HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:54 -0500] "GET /ZulfiCricket/static/index.html HTTP/1.1" 200 9209
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:54 -0500] "GET /ZulfiCricket/static/css/style.css HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:54 -0500] "GET /ZulfiCricket/static/css/restaurant.css HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:54 -0500] "GET /ZulfiCricket/static/css/common.css HTTP/1.1" 200 3250
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:54 -0500] "GET /ZulfiCricket/static/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:54 -0500] "GET /ZulfiCricket/static/lib/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:54 -0500] "GET /ZulfiCricket/static/images/cric.png HTTP/1.1" 200 46581
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/lib/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:55 -0500] "GET /ZulfiCricket/static/lib/angular.min.js HTTP/1.1" 200 167131
