127.0.0.1 - - [06/Jul/2017:23:04:23 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2035%20Overs%20League&seasonYear=White HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2035%20Overs%20League&seasonYear=Blue HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:29 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:29 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:29 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:29 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:25:04 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:30:30 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:33:44 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:33:54 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:34:00 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:34:00 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:34:00 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:34:00 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:35:10 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:35:19 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:35:24 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
