2017-03-11 13:47:31,153 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.websystique.springmvc:SpringMVCHibernateManyToManyCRUDExample:1.0.0 @ Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\pom.xml.
2017-03-11 18:21:00,990 [Worker-132] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 18:21:00,990 [Worker-132] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:21:01,000 [Worker-132] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 18:22:00,088 [Worker-131] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:22:00,098 [Worker-131] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 18:22:00,100 [Worker-131] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:22:00,110 [Worker-131] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 18:25:02,704 [Worker-133] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:25:02,716 [Worker-133] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 18:25:02,717 [Worker-133] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:25:02,725 [Worker-133] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 19:16:42,797 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 19:16:42,805 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 19:16:42,807 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 19:16:42,813 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 19:19:05,410 [Worker-133] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SpringMVCHibernateWithSpringSecurityExample
2017-03-11 19:19:05,933 [Worker-133] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 19:19:05,938 [Worker-133] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 19:19:06,085 [Worker-133] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 19:19:06,098 [Worker-133] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 19:19:06,103 [Worker-133] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringMVCHibernateWithSpringSecurityExample
2017-03-11 19:19:06,103 [Worker-133] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringMVCHibernateWithSpringSecurityExample
2017-03-11 19:19:06,623 [Worker-133] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 19:25:10,137 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 19:25:10,139 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 19:25:10,149 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 19:25:10,149 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
